%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1431530346149054025,0.0,0.0,100.3,-0.0914162081199,-0.0228547913231,0.862582755619,-0.497063099731
1431530346170138075,0.0,0.0,100.3,-0.0914162081199,-0.0228547913231,0.862582755619,-0.497063099731
1431530346186934594,0.0,0.0,100.3,-0.0914162081199,-0.0228547913231,0.862582755619,-0.497063099731
1431530346210962323,0.0,0.0,100.3,-0.0919133058632,-0.0204009180423,0.861391951383,-0.499138911368
1431530346227969420,0.0,0.0,100.3,-0.0919133058632,-0.0204009180423,0.861391951383,-0.499138911368
1431530346249527172,0.0,0.0,100.3,-0.0919133058632,-0.0204009180423,0.861391951383,-0.499138911368
1431530346270906962,0.0,0.0,100.3,-0.0919133058632,-0.0204009180423,0.861391951383,-0.499138911368
1431530346291322818,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346316099377,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346332841266,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346350958605,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346371698889,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346389547179,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346405656304,0.0,0.0,100.3,-0.0934365877482,-0.0144251304246,0.860732489974,-0.50020105996
1431530346429813162,0.0,0.0,100.3,-0.0823853468495,-0.0110182026158,0.860875388105,-0.501980896041
1431530346447930212,0.0,0.0,100.3,-0.0823853468495,-0.0110182026158,0.860875388105,-0.501980896041
1431530346468897624,0.0,0.0,100.3,-0.0823853468495,-0.0110182026158,0.860875388105,-0.501980896041
1431530346490000174,0.0,0.0,100.3,-0.0823853468495,-0.0110182026158,0.860875388105,-0.501980896041
1431530346509827342,0.0,0.0,100.3,-0.0676561074987,-0.0102868883477,0.862278737381,-0.501789009552
1431530346526969306,0.0,0.0,100.3,-0.0676561074987,-0.0102868883477,0.862278737381,-0.501789009552
1431530346552345156,0.0,0.0,100.3,-0.0676561074987,-0.0102868883477,0.862278737381,-0.501789009552
1431530346573648793,0.0,0.0,100.3,-0.0676561074987,-0.0102868883477,0.862278737381,-0.501789009552
1431530346592772350,0.0,0.0,100.3,-0.0499829755946,-0.0128528679945,0.864441332893,-0.500077681887
1431530346610863444,0.0,0.0,100.5,-0.0499829755946,-0.0128528679945,0.864441332893,-0.500077681887
1431530346631779095,0.0,0.0,100.5,-0.0499829755946,-0.0128528679945,0.864441332893,-0.500077681887
1431530346654078557,0.0,0.0,100.5,-0.0405820084197,-0.0134425883425,0.864638846255,-0.500571736075
1431530346672661723,0.0,0.0,100.5,-0.0406402469354,-0.0132654784216,0.8668136659,-0.496796201697
1431530346690247545,0.0,0.0,100.5,-0.0406402469354,-0.0132654784216,0.8668136659,-0.496796201697
1431530346710786922,0.0,0.0,100.5,-0.0406402469354,-0.0132654784216,0.8668136659,-0.496796201697
1431530346729639505,0.0,0.0,100.5,-0.032325393895,-0.00849238114386,0.867080481768,-0.497045658375
1431530346747741465,0.0,0.0,100.5,-0.032383864414,-0.00826661681551,0.870527619052,-0.490983312181
1431530346766626047,0.0,0.0,100.5,-0.032383864414,-0.00826661681551,0.870527619052,-0.490983312181
1431530346786506419,0.0,0.0,100.5,-0.032383864414,-0.00826661681551,0.870527619052,-0.490983312181
1431530346809545834,0.0,0.0,100.5,-0.026543991334,-0.00797262413719,0.870622445381,-0.491170450443
1431530346827388149,0.0,0.0,100.5,-0.0266326837286,-0.007671138702,0.876135685664,-0.481267196155
